date_processed,rspm,spm,pm2_5
2002-10-01,,199.61904761904765,
2002-11-01,,226.75730994152048,
2002-12-01,,235.61111111111111,
2003-01-01,146.5,104.5,
2003-01-02,0.0,0.0,
2003-01-04,103.5,290.13888888888886,
2003-01-05,0.0,417.5,
2003-01-07,93.66666666666667,261.625,
2003-01-08,94.875,137.875,
2003-01-09,59.0,175.7,
2003-01-10,132.66666666666666,338.0,
2003-01-12,267.5,160.5,
2003-01-13,112.08333333333333,214.92857142857142,
2003-01-14,67.375,194.0,
2003-01-15,158.75,315.3333333333333,
2003-01-16,90.91666666666667,198.5,
2003-01-17,166.16666666666666,231.5,
2003-01-18,69.66666666666667,0.0,
2003-01-20,115.7,262.75,
2003-01-21,100.25,270.6666666666667,
2003-01-22,130.16666666666666,309.3333333333333,
2003-01-23,96.8,228.0,
2003-01-24,115.6,247.08333333333334,
2003-01-25,43.333333333333336,0.0,
2003-01-27,108.875,172.92857142857142,
2003-01-28,62.2,155.28571428571428,
2003-01-29,91.5,212.9047619047619,
2003-01-30,76.5,152.5,
2003-01-31,0.0,0.0,
2003-02-01,94.4,117.0,
2003-02-04,108.33333333333333,444.0,
2003-02-05,218.625,237.25,
2003-02-06,155.5,205.33333333333334,
2003-02-07,79.6,146.16666666666669,
2003-02-08,0.0,0.0,
2003-02-09,77.7,109.71428571428571,
2003-02-12,183.0,238.33333333333334,
2003-02-13,73.08333333333333,211.28571428571428,
2003-02-14,127.16666666666667,174.75,
2003-02-15,69.0,0.0,
2003-02-17,66.8,186.28571428571428,
2003-02-18,43.75,108.08333333333333,
2003-02-19,66.83333333333333,256.75,
2003-02-20,77.91666666666667,237.41666666666666,
2003-02-21,111.75,182.4,
2003-02-22,63.666666666666664,0.0,
2003-02-24,109.5,191.85714285714286,
2003-02-25,84.2,167.25,
2003-02-26,67.25,202.9,
2003-02-27,109.875,96.5,
2003-02-28,86.0,0.0,
2003-03-01,73.0,174.25,
2003-03-02,67.66666666666667,141.42857142857142,
2003-03-03,115.83333333333333,105.125,
2003-03-04,64.0,293.5833333333333,
2003-03-05,132.0,394.0,
2003-03-06,110.7,356.2857142857143,
2003-03-07,22.666666666666668,176.58333333333334,
2003-03-09,80.33333333333333,60.666666666666664,
2003-03-10,133.66666666666666,251.25,
2003-03-11,264.0,284.7,
2003-03-12,229.75,530.4166666666666,
2003-03-13,90.0,108.75,
2003-03-14,206.5,,
2003-03-15,53.333333333333336,0.0,
2003-03-17,108.75,170.33333333333334,
2003-03-18,110.0,172.5,
2003-03-19,,214.875,
2003-03-20,116.83333333333333,240.25,
2003-03-21,104.9,241.8,
2003-03-22,257.0,558.5,
2003-03-24,86.6,189.28571428571428,
2003-03-25,48.75,157.25,
2003-03-26,120.0,241.61111111111111,
2003-03-27,62.75,130.5,
2003-03-28,81.125,187.0,
2003-03-29,27.333333333333332,177.0,
2003-03-31,88.5,0.0,
2003-04-01,0.0,58.333333333333336,
2003-04-02,72.25,208.3611111111111,
2003-04-03,79.0,222.0,
2003-04-04,136.875,297.6666666666667,
2003-04-05,,556.0,
2003-04-06,81.0,546.5,
2003-04-07,138.7,209.7,
2003-04-08,77.625,122.57142857142857,
2003-04-09,78.1,100.35714285714286,
2003-04-11,127.75,435.77777777777777,
2003-04-12,192.125,479.8,
2003-04-15,62.0,82.0,
2003-04-16,103.66666666666667,250.25,
2003-04-17,94.25,147.875,
2003-04-18,,524.0,
2003-04-19,157.0,428.3333333333333,
2003-04-21,155.0,208.3,
2003-04-22,128.0,161.0,
2003-04-23,232.16666666666666,278.8333333333333,
2003-04-24,177.83333333333334,316.6,
2003-04-25,117.9,151.5,
2003-04-26,46.666666666666664,0.0,
2003-04-28,60.4,217.76190476190476,
2003-04-29,71.7,147.1,
2003-04-30,99.5,0.0,
2003-05-02,123.16666666666667,206.08333333333334,
2003-05-03,117.875,247.21428571428572,
2003-05-04,47.0,0.0,
2003-05-05,80.7,357.92857142857144,
2003-05-06,172.25,1003.3333333333334,
2003-05-07,0.0,0.0,
2003-05-08,37.9,110.33333333333333,
2003-05-09,95.0,146.875,
2003-05-11,226.25,359.8333333333333,
2003-05-12,200.33333333333334,328.75,
2003-05-13,130.875,353.6666666666667,
2003-05-14,136.83333333333334,259.6666666666667,
2003-05-15,52.0,102.0,
